geo;time;excel time;lon;lat;alt;provider;accuracy;course;speed;distance
geo;16:30:11.453;42029.68763255787;30.3372265;60.0769689;52;gps;8;291.9;13.786;483.294
geo;16:30:12.404;42029.687643564816;30.3369852;60.0770109;38;gps;10;291;14.285;496.879
geo;16:30:13.406;42029.68765516204;30.3367664;60.0770337;39;gps;12;289.3;13.537;510.443
geo;16:30:14.390;42029.687666550926;30.3365361;60.0770491;40;gps;14;287.6;13.038;523.273
geo;16:30:15.407;42029.68767832176;30.3363784;60.077111;41;gps;15;293.4;11.294;534.759
geo;16:30:16.420;42029.687690046296;30.336149;60.0771592;41;gps;13;292.8;11.792;546.716
geo;16:30:17.434;42029.68770178241;30.3359781;60.0772288;41;gps;13;298.2;11.045;557.905
geo;16:30:18.407;42029.68771304398;30.3358269;60.0772425;42;gps;11;294.2;9.304;566.957
geo;16:30:19.412;42029.687724675925;30.3356991;60.077257;43;gps;11;292.1;8.062;575.06
geo;16:30:20.413;42029.68773626158;30.335662;60.0772953;46;gps;9;295.1;4.123;579.187
geo;16:30:21.408;42029.687747777774;30.3356331;60.0773137;46;gps;9;288.2;2.693;581.866
geo;16:30:22.412;42029.68775939815;30.335587;60.0773204;47;gps;8;280;2.462;584.338
geo;16:30:23.402;42029.687770856486;30.3355712;60.0773316;47;gps;6;283.5;1.601;585.923
geo;16:30:24.405;42029.68778246528;30.3355742;60.0773384;46;gps;6;287.1;1.601;587.529
geo;16:30:25.422;42029.68779423611;30.335534;60.0773321;46;gps;5;284.2;1.803;589.363
geo;16:30:26.415;42029.68780572916;30.3354995;60.0773276;45;gps;5;260.9;1.803;591.153
geo;16:30:27.445;42029.68781765046;30.3354884;60.0773247;44;gps;5;245.2;1.414;592.609
geo;16:30:28.393;42029.687828622686;30.3354703;60.0773176;44;gps;6;229.5;1.414;593.95
geo;16:30:29.410;42029.68784039352;30.335446;60.0773021;44;gps;5;214.4;1.803;595.784
geo;16:30:30.403;42029.68785188657;30.3354307;60.0772908;45;gps;5;191.3;1.803;597.574
geo;16:30:31.391;42029.68786332176;30.3354314;60.077275;45;gps;4;173.9;2.016;599.566
geo;16:30:32.405;42029.68787505787;30.3354375;60.0772563;45;gps;4;168.4;2.016;601.61
geo;16:30:33.412;42029.68788671296;30.3354544;60.0772349;45;gps;4;156.5;2.462;604.089
geo;16:30:34.404;42029.68789819445;30.3354944;60.0772239;45;gps;5;125.5;2.462;606.532
geo;16:30:35.390;42029.68790960648;30.3355424;60.0772207;45;gps;5;105.1;2.693;609.187
geo;16:30:36.397;42029.687921261575;30.3355946;60.0772236;44;gps;6;87.6;2.693;611.899
geo;16:30:37.415;42029.687933043984;30.3356463;60.0772207;44;gps;8;92.7;2.926;614.877
geo;16:30:38.394;42029.687944375;30.3357063;60.0772087;45;gps;7;100.7;2.926;617.742
geo;16:30:39.415;42029.68795619213;30.335769;60.0771934;45;gps;7;107.2;3.162;620.97
geo;16:30:40.432;42029.687967962964;30.335848;60.0771739;45;gps;6;109.9;4.123;625.164
geo;16:30:41.403;42029.68797920139;30.335933;60.0771554;45;gps;5;108.7;4.61;629.64
geo;16:30:42.418;42029.687990949074;30.336023;60.0771374;45;gps;6;108.1;4.854;634.567
geo;16:30:43.404;42029.688002361116;30.3361137;60.0771193;45;gps;6;108;4.854;639.353
geo;16:30:44.396;42029.68801384259;30.3362094;60.0770995;45;gps;8;108.6;5.099;644.411
geo;16:30:45.392;42029.68802537037;30.3363758;60.0770472;45;gps;8;112.7;6.576;650.961
geo;16:30:46.396;42029.688036990745;30.3365015;60.0770139;44;gps;9;113.7;7.319;658.309
geo;16:30:47.414;42029.68804877315;30.3366458;60.0769737;44;gps;10;113;8.31;666.769
geo;16:30:48.397;42029.68806015047;30.3367567;60.0769351;44;gps;11;116.7;7.814;674.45
geo;16:30:49.421;42029.68807200232;30.3368567;60.0768921;46;gps;12;120.8;7.566;682.197
geo;16:30:50.399;42029.68808332176;30.3369406;60.0768445;46;gps;10;129.3;6.824;688.871
